Windspeed (m/s),Power (KW)
2,0
3,0
4,4
5,101
6,273
7,464
8,735
9,979
10,1249
11,1444
12,1500
13,1500
14,1500
15,1500
16,1500
17,1500
18,1500
19,1500
20,1500
21,1500
