Windspeed (m/s),Power (KW)
3,24.1
4,91.9
5,190.8
6,338.3
7,540.1
8,812.3
9,1137.9
10,1389.1
11,1491.1
12,1498
13,1500.8
14,1500.8
15,1500.8
16,1500.8
17,1500.8
18,1500.8
19,1500.8
20,1500.8
21,1500.8
22,1500.8
23,1501.8
24,1502.8
25,1503.8
