Windspeed (m/s),Power (KW)
,
3,0
4,14
5,138
6,312
7,546
8,840
9,1180
10,1535
11,1856
12,2037
13,2088
14,2100
15,2100
16,2100
17,2100
18,2100
19,2100
20,2100
21,2100
22,2100
23,2100
24,2100
25,2100
