Windspeed (m/s),Power (KW)
,
3.5,76
4,146
5,331
6,599
7,958
8,1421
9,1906
10,2267
11,2398
12,2400
13,2400
14,2400
15,2400
16,2400
17,2400
18,2400
19,2400
20,2400
21,2400
22,2400
