Windspeed (m/s),Power (KW)
,
3.5,63.77
4,124.38
4.5,210.72
5,312.5
5.5,434.83
6,575.38
6.5,736.27
7,920.47
7.5,1123.53
8,1335.55
8.5,1544.4
9,1737.9
9.5,1914.75
10,2069.22
10.5,2177.12
11,2248.33
11.5,2287.57
12,2300
12.5,2300
13,2300
13.5,2300
14,2300
14.5,2300
15,2300
15.5,2300
16,2300
16.5,2300
17,2300
17.5,2300
18,2300
18.5,2300
19,2300
19.5,2300
20,2300
20.5,2300
21,2300
21.5,2300
22,2300
