Windspeed (m/s),Power (KW)
,
3.5,2.6
4,52.3
5,206.4
6,414.9
7,683.1
8,1010
9,1393.2
10,1787.7
11,2016.3
12,2096.4
13,2114
14,2116.2
15,2115.8
16,2114.5
17,2113.8
18,2111.2
19,2109.8
20,2105.5
21,2103.2
22,2096.4
23,2091.2
24,2088.2
25,2084.9
