Windspeed (m/s),Power (KW)
,
4.00,14.00
5.00,138.00
6.00,312.00
7.00,546.00
8.00,840.00
9.00,1180.00
10.00,1535.00
11.00,1856.00
12.00,2037.00
13.00,2088.00
14.00,2100.00
15.00,2100.00
16.00,2100.00
17.00,2100.00
18.00,2100.00
19.00,2100.00
20.00,2100.00
21.00,2100.00
22.00,2100.00
23.00,2100.00
24.00,2100.00
25.00,2100.00
,
,
,
,
,
,
,
,
,
,
,
,
,
