Windspeed (m/s),Power (KW)
,
3,3
3.5,55
4,112
4.5,183
5,275
5.5,388
6,515
6.5,664
7,829
7.5,1023
8,1240
8.5,1445
9,1579
9.5,1675
10,1704
10.5,1713
11,1715
11.5,1715
12,1715
12.5,1715
13,1715
13.5,1715
14,1715
14.5,1715
15,1715
15.5,1715
16,1715
16.5,1715
17,1715
17.5,1715
18,1715
18.5,1715
19,1715
19.5,1715
20,1715
20.5,1715
21,1715
21.5,1715
22,1715
