Windspeed (m/s),Power (KW)
,
3,14
3.5,50
4,100
4.5,161
5,234
5.5,322
6,434
6.5,563
7,716
7.5,890
8,1091
8.5,1319
9,1568
9.5,1790
10,1947
10.5,2000
11,2000
11.5,2000
12,2000
12.5,2000
13,2000
13.5,2000
14,2000
14.5,2000
15,2000
15.5,2000
16,2000
16.5,2000
17,2000
17.5,2000
18,2000
18.5,2000
19,2000
19.5,2000
20,2000
