Windspeed (m/s),Power (KW)
3.00,0.00
3.50,14.00
4.00,63.66
5.00,202.95
6.00,413.83
7.00,669.62
8.00,998.85
9.00,1378.52
10.00,1745.94
11.00,1984.16
12.00,2076.11
13.00,2097.27
14.00,2100.00
15.00,2100.00
16.00,2100.00
17.00,2100.00
18.00,2100.00
19.00,2100.00
20.00,2100.00
21.00,2100.00
22.00,2100.00
23.00,2100.00
24.00,2100.00
,
,
,
,
,
,
,
,
,
,
,
,
